id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-15 13:11:13 EST,2/15/22,13:11:13,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@TheOneNFT 🧢 = 🔥❗️,und,[],[],[],0,1,7,[],[],https://twitter.com/GutterCatGang/status/1493649111165198337,FALSE,,0,,,,,,,,"[{'screen_name': 'TheOneNFT', 'name': 'georgegrant.eth / #ape484', 'id': '1382292558349438980'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-15 02:08:52 EST,2/15/22,02:08:52,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@hodlnfts42069 Welcome to the gang 🔥,en,[],[],[],1,1,7,[],[],https://twitter.com/GutterCatGang/status/1493482427083202563,FALSE,,0,,,,,,,,"[{'screen_name': 'hodlnfts42069', 'name': 'frmfer.eth', 'id': '1439835790654148614'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-14 19:07:38 EST,2/14/22,19:07:38,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,Who should we collab with next for #GutterArt? 🤔  Let us know 👇,en,[],[],[],148,28,215,['gutterart'],[],https://twitter.com/GutterCatGang/status/1493376418515873792,FALSE,,0,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-14 14:25:33 EST,2/14/22,14:25:33,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@ShapurNFT @mropulence1 #GangGang,und,[],[],[],0,1,4,['ganggang'],[],https://twitter.com/GutterCatGang/status/1493305429568344066,FALSE,,0,,,,,,,,"[{'screen_name': 'mropulence1', 'name': 'BIG HOSS', 'id': '1439708656312913923'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-14 13:01:37 EST,2/14/22,13:01:37,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,LOVEBIRDS  https://t.co/7BPeoi2FNM,en,[],[],['https://pbs.twimg.com/media/FLk17jvUUAMYPUH.jpg'],34,107,395,[],[],https://twitter.com/GutterCatGang/status/1493284306302619648,FALSE,,1,https://pbs.twimg.com/media/FLk17jvUUAMYPUH.jpg,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-14 01:06:20 EST,2/14/22,01:06:20,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@VonMiller 👑😼,und,[],[],[],0,1,19,[],[],https://twitter.com/GutterCatGang/status/1493104301408882691,FALSE,,0,,,,,,,,"[{'screen_name': 'VonMiller', 'name': 'Von Miller', 'id': '1880281963'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-13 23:34:01 EST,2/13/22,23:34:01,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@GregoryCG8 Congrats gang 🔥,en,[],[],[],2,0,37,[],[],https://twitter.com/GutterCatGang/status/1493081067019857920,FALSE,,0,,,,,,,,"[{'screen_name': 'GregoryCG8', 'name': 'buddyhowell.eth.xyz', 'id': '334399901'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-13 20:27:23 EST,2/13/22,20:27:23,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@_madamlex We are,en,[],[],[],1,6,34,[],[],https://twitter.com/GutterCatGang/status/1493034099983802368,FALSE,,0,,,,,,,,"[{'screen_name': '_madamlex', 'name': 'MadamLex', 'id': '1448725000442290177'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-13 14:00:01 EST,2/13/22,14:00:01,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,"🏈 BIG GAME DAY 🏈  Rams or Bengals? But more importantly, what are you eating for Superbowl Sunday?  #SuperBowl  https://t.co/b9ti858Op0",en,[],[],['https://pbs.twimg.com/media/FLdbHuXUYAMVUAi.jpg'],29,29,169,['superbowl'],[],https://twitter.com/GutterCatGang/status/1492936616771530758,FALSE,,1,https://pbs.twimg.com/media/FLdbHuXUYAMVUAi.jpg,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,2022-02-12 19:37:27 EST,2/12/22,19:37:27,-500,1.39E+18,guttercatgang,Gutter Cat Gang 😼🧬,,@ajdillon7 Nice collection 😼👌,en,[],[],[],0,0,27,[],[],https://twitter.com/GutterCatGang/status/1492659145094221824,FALSE,,0,,,,,,,,"[{'screen_name': 'ajdillon7', 'name': 'AJ “The Sauce” Dillon', 'id': '2347947270'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
